filename,plate,confidence,status
T1_120726_RZ565____Unknown.jpg,RZ565,0.93,ok
T1_120757_TRY043____Unknown.jpg,TRVES,0.90,ok
T1_120806_UC624____Unknown.jpg,UC624,0.97,ok
T1_120836_YZ959____Unknown.jpg,VZ959,0.94,ok
T1_120848_UA294____Unknown.jpg,UA294,0.97,ok
T1_120951_PJ945____Unknown.jpg,PJ945,0.97,ok
T1_121059_KR218____Unknown.jpg,KR218,0.99,ok
T1_121308_AB726G____Unknown.jpg,AB7266,0.89,ok
T1_121315_PY972____Unknown.jpg,PY972,1.00,ok
T1_121322_TEH268____Unknown.jpg,TEH268,0.94,ok
T1_121341_SD714____Unknown.jpg,SD714,0.96,ok
T1_121431_KE619____Unknown.jpg,KE619,0.99,ok
T1_121458_GD387____Unknown.jpg,GD387,0.93,ok
T1_121617_VF062____Unknown.jpg,VF062,0.99,ok
T1_121625_YA613____Unknown.jpg,YA613,0.90,ok
T1_121651_ZVK503____Unknown.jpg,ZVK503,0.99,ok
T1_121708_RJ839____Unknown.jpg,RJ839,0.99,ok
T1_121807_MT604____Unknown.jpg,MT604,0.98,ok
T1_121822_VK531____Unknown.jpg,VK531,0.99,ok
T1_121851_ZSE691____Unknown.jpg,ZSE691,0.99,ok
T1_121957_NS988____Unknown.jpg,NS988,1.00,ok
T1_122045_MR009____Unknown.jpg,MR009,0.99,ok
T1_122121_AB262F____Unknown.jpg,AB262F,1.00,ok
T1_122133_EP753____Unknown.jpg,EP753,0.99,ok
T1_122200_RR603____Unknown.jpg,RR603,0.99,ok
T1_122319_PJ945____Unknown.jpg,PJ945,0.97,ok
T1_122320_UY542____Unknown.jpg,UY542,0.99,ok
T1_122333_MP262____Unknown.jpg,MP262,1.00,ok
T1_122446_UH672____Unknown.jpg,UH672,0.99,ok
T1_122559_ZRB156____Unknown.jpg,ZRB156,0.81,ok
T1_122619_ZZY764____Unknown.jpg,ZZY764,0.98,ok
T1_122746_ZU677____Unknown.jpg,ZU677,0.98,ok
T1_123003_RN388____Unknown.jpg,RN388,0.99,ok
T1_123101_ZB930____Unknown.jpg,ZB930,0.99,ok
T1_123113_VS842____Unknown.jpg,VS842,0.98,ok
T1_123242_RZ565____Unknown.jpg,RZ565,0.97,ok
T1_123327_RG317____Unknown.jpg,RG317,1.00,ok
T1_123419_AB099M____Unknown.jpg,M,0.50,ok
T1_123447_PET253____Unknown.jpg,PET263,0.97,ok
T1_123457_PYB251____Unknown.jpg,PYB251,0.99,ok
T1_123610_VV015____Unknown.jpg,VV015,0.98,ok
T1_123621_MS101____Unknown.jpg,MS101,0.99,ok
T1_123625_AB982____Unknown.jpg,AB982F,0.99,ok
T1_123810_VE566____Unknown.jpg,VE566,0.98,ok
T1_123814_PB861____Unknown.jpg,PB861,0.98,ok
T1_123828_PH121____Unknown.jpg,PH121,1.00,ok
T1_123909_PZT905____Unknown.jpg,PZT905,0.93,ok
T1_123942_VZ601____Unknown.jpg,VZ601,0.99,ok
T1_124406_LY143____Unknown.jpg,LY143,0.89,ok
